"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Acanthis flammea","Accipiter gentilis","Accipiter nisus","Acrocephalus schoenobaenus","Actitis hypoleucos","Alauda arvensis","Anthus pratensis","Anthus trivialis","Apus apus","Arenaria interpres","Asio flammeus","Aythya fuligula","Bombycilla garrulus","Buteo buteo","Calidris falcinellus","Calidris pugnax","Certhia familiaris","Chloris chloris","Circus cyaneus","Columba palumbus","Corvus corax","Corvus corone cornix","Corvus monedula","Cuculus canorus","Curruca communis","Cursorius cursor","Cyanistes caeruleus","Delichon urbicum","Dendrocopos major","Dryocopus martius","Emberiza citrinella","Emberiza hortulana","Erithacus rubecula","Falco subbuteo","Falco tinnunculus","Ficedula hypoleuca","Ficedula parva","Fringilla coelebs","Fringilla montifringilla","Gallinago gallinago","Garrulus glandarius","Grus grus","Hirundo rustica","Jynx torquilla","Lagopus lagopus","Lanius collurio","Lanius excubitor","Lophophanes cristatus","Loxia curvirostra","Loxia leucoptera","Loxia pytyopsittacus","Lymnocryptes minimus","Lyrurus tetrix","Motacilla alba","Motacilla flava","Muscicapa striata","Numenius arquata","Numenius phaeopus","Oenanthe oenanthe","Pandion haliaetus","Parus major","Passer domesticus","Periparus ater","Perisoreus infaustus","Phasianus colchicus","Phoenicurus phoenicurus","Phylloscopus collybita","Phylloscopus trochilus","Pica pica","Picoides tridactylus","Pluvialis apricaria","Poecile montanus","Prunella modularis","Pyrrhula pyrrhula","Regulus regulus","Rhadina sibilatrix","Riparia riparia","Saxicola rubetra","Schoeniclus rusticus","Schoeniclus schoeniclus","Scolopax rusticola","Seicercus trochiloides","Spinus spinus","Sturnus vulgaris","Sylvia borin","Tetrao urogallus","Tetrastes bonasia","Tringa erythropus","Tringa glareola","Tringa nebularia","Tringa ochropus","Tringa totanus","Troglodytes troglodytes","Turdus iliacus","Turdus merula","Turdus philomelos","Turdus pilaris","Turdus viscivorus","Vanellus vanellus"
"birds_dec_2_MB_SampleID_11",269922.000009005,6887111.0600047,1995,923.833626747131,4.01666666070621,171,-0.0808333333333333,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
"birds_dec_2_MB_SampleID_12",269922.000002087,6887111.06000977,1996,767.19374370575,2.94166658818722,158,-0.214166666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
"birds_dec_2_MB_SampleID_13",269921.96000244,6897107.04000692,1988,952.438135147096,3.50833329372108,188,-0.0133333333333333,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1
"birds_dec_2_MB_SampleID_14",269921.920000463,6907103.03000112,1988,914.017564773559,3.46666677792867,186,-0.0133333333333333,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1
"birds_dec_2_MB_SampleID_15",279917.900002989,6907103.07000756,1988,925.532722473144,3.4333333770434,186,-0.0133333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,1,0
"birds_dec_2_MB_SampleID_16",279917.740006332,6947087.01000509,1996,701.190675735473,2.74166671248774,145,-0.214166666666667,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"birds_dec_2_MB_SampleID_17",309905.690007287,6947087.13000227,1997,649.937986373901,3.70000006755193,166,-0.156666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"birds_dec_2_MB_SampleID_18",249929.74000689,6957082.88000608,1989,713.252471923828,5.03333336425324,124,0.701666666666667,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,0,1,1,0,1
"birds_dec_2_MB_SampleID_19",249929.740008417,6957082.88000815,1990,779.509456634522,4.4500000855575,126,0.594166666666667,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
"birds_dec_2_MB_SampleID_20",249929.740007404,6957082.88000742,1991,725.773431777953,4.14999995628993,117,0.268333333333333,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1
