"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Cerapteryx graminis","Diarsia mendica","Dysstroma citratum","Dysstroma truncatum","Entephria caesiata","Epirrita autumnata","Eulithis populata","Eulithis testata","Eupithecia pusillata","Eupithecia satyrata","Eupithecia vulgata","Hillia iris","Hydriomena furcata","Lithomoia solidaginis","Macaria brunneata","Macaria loricaria","Operophtera brumata","Operophtera fagata","Orthosia gothica","Poecilocampa populi","Scopula ternata","Selenia dentaria","Syngrapha interrogationis","Thera juniperata","Xanthia togata","Xanthorhoe annotinata","Xanthorhoe decoloraria","Xanthorhoe montanata","Xanthorhoe spadicearia","Xestia alpicola","Xestia speciosa"
"moth_dec_4_NB_SampleID_13",363106.000005708,7590699.00000758,2008,741.691129684448,-1.06666667262713,214,-0.378333333333333,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1
"moth_dec_4_NB_SampleID_14",363106.000008867,7590699.00000598,2009,463.317915439606,-0.849999924500783,215,-0.243333333333333,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"moth_dec_4_NB_SampleID_15",363106.000005659,7590699.00000448,2010,517.735186576843,-2.30000002930562,215,-1.1525,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
"moth_dec_4_NB_SampleID_16",363106.000001453,7590699.00000977,2011,722.904883384705,0.200000057617822,187,0.293333333333333,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
"moth_dec_4_NB_SampleID_17",363106.000002042,7590699.00000743,2012,641.204395294189,-1.59999992450078,220,-0.455833333333333,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
"moth_dec_4_NB_SampleID_18",363106.000008165,7590699.0000085,2013,629.218984603882,-0.166666691501937,213,0.21,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0
"moth_dec_4_NB_SampleID_19",363106.000006809,7590699.00000549,2014,773.343042373658,-0.166666716337198,224,0.186666666666667,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"moth_dec_4_NB_SampleID_20",522360.000009515,7616567.00000137,2013,424.440948486328,1.12499997826914,212,0.21,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0
"moth_dec_4_NB_SampleID_21",522360.000001634,7616567.00000873,2014,515.323169708252,0.858333284656211,211,0.186666666666667,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0
"moth_dec_4_NB_SampleID_22",522360.000007976,7616567.00000193,2016,871.045371055603,1.40000003576279,194,-0.0383333333333333,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
