"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Agrochola helvola","Arichanna melanaria","Autographa pulchrina","Cabera exanthemata","Carsia sororiata","Celaena haworthii","Cerapteryx graminis","Coenocalpe lapidata","Cyclophora albipunctata","Diarsia mendica","Dysstroma citratum","Dysstroma truncatum","Ecliptopera silaceata","Elophos vittaria","Entephria caesiata","Epione repandaria","Epirrita autumnata","Eulithis populata","Eulithis testata","Eupithecia gelidata","Eupithecia intricata","Eupithecia pusillata","Eupithecia satyrata","Eupithecia vulgata","Eurois occultus","Falcaria lacertinaria","Hepialus fusconebulosus","Hillia iris","Hydriomena furcata","Hydriomena ruberata","Lithomoia solidaginis","Macaria brunneata","Macaria loricaria","Ochropacha duplaris","Operophtera brumata","Operophtera fagata","Orthosia gothica","Parastichtis suspecta","Poecilocampa populi","Pterostoma palpinum","Scopula ternata","Selenia dentaria","Selenia tetralunaria","Spargania luctuata","Syngrapha interrogationis","Thera juniperata","Trichiura crataegi","Xanthia icteritia","Xanthia togata","Xanthorhoe annotinata","Xanthorhoe decoloraria","Xanthorhoe ferrugata","Xanthorhoe montanata","Xanthorhoe spadicearia","Xestia alpicola","Xestia speciosa"
"moth_dec_3_NB_SampleID_26",504314.000008942,7562582.00000306,2006,550.419645309448,-0.325000007947291,206,-0.2075,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
"moth_dec_3_NB_SampleID_27",504314.000007201,7562582.00000052,2007,793.697233200073,-0.200000137090678,203,0.173333333333333,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0
"moth_dec_3_NB_SampleID_28",363106.000006904,7590699.00000865,1999,657.749719619751,-1.80000001192092,226,0.390833333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_29",363106.00000813,7590699.00000705,2000,637.12114906311,-0.374999999999997,211,0.206666666666667,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
"moth_dec_3_NB_SampleID_30",363106.000008506,7590699.0000045,2002,563.666092872619,-1.43333322182297,207,0.0391666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_31",363106.000007433,7590699.00000626,2003,471.300915718078,-0.866666615009302,211,0.0975,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_32",363106.000005732,7590699.00000311,2004,773.623595237732,-0.933333247900008,210,0.2425,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"moth_dec_3_NB_SampleID_33",363106.000008549,7590699.00000093,2005,675.153818130493,-0.249999950329461,216,-0.2675,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_34",363106.000005734,7590699.00000518,2006,536.640417098999,-0.508333401133619,203,-0.2075,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_35",363106.000009786,7590699.0000048,2007,580.208644866943,-0.558333218097684,207,0.173333333333333,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_36",545863.000006466,7631277.00000327,1998,763.172924041748,-2.64166673024495,220,-0.480833333333333,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0
"moth_dec_3_NB_SampleID_37",545863.000003398,7631277.0000037,1999,723.504558563232,-1.04166673620542,209,0.390833333333333,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
"moth_dec_3_NB_SampleID_38",545863.000006275,7631277.00000837,2000,621.803499221802,0.733333259820933,195,0.206666666666667,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"moth_dec_3_NB_SampleID_39",545863.000002119,7631277.00000673,2001,635.630017280578,-0.741666624943414,204,-0.1825,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
"moth_dec_3_NB_SampleID_40",545863.000008604,7631277.00000251,2002,623.915334701539,-0.774999976158148,201,0.0391666666666667,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_41",545863.000006631,7631277.00000591,2003,504.261054992676,0.299999994536243,197,0.0975,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_42",545863.000000186,7631277.00000326,2004,557.390350341797,0.608333293348556,199,0.2425,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"moth_dec_3_NB_SampleID_43",545863.000005995,7631277.00000609,2005,734.937633991242,1.05000001688797,205,-0.2675,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
