"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Anthocharis cardamines","Aphantopus hyperantus","Aporia crataegi","Argynnis aglaja","Boloria euphrosyne","Boloria selene","Brenthis ino","Callophrys rubi","Carterocephalus palaemon","Carterocephalus silvicola","Celastrina argiolus","Colias palaeno","Erebia ligea","Gonepteryx rhamni","Leptidea sinapis","Lycaena phlaeas","Lycaena virgaureae","Melitaea athalia","Nymphalis antiopa","Nymphalis c-album","Nymphalis io","Nymphalis urticae","Ochlodes sylvanus","Papilio machaon","Pararge petropolitana","Pieris napi","Plebeius amandus","Plebeius argus","Plebeius eumedon","Plebeius icarus","Plebeius idas","Plebeius optilete","Plebeius semiargus","Thymelicus lineola","Vanessa atalanta","Vanessa cardui"
"butterfly_dec_4_MB_SampleID_20",433355.000008842,7173796.00000126,2009,574.696970939636,2.74999990065893,163,-0.243333333333333,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1
"butterfly_dec_4_MB_SampleID_21",433355.000008859,7173796.00000909,2010,651.672941207886,1.29166664679845,173,-1.1525,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
"butterfly_dec_4_MB_SampleID_22",433355.000008406,7173796.00000479,2011,809.303833961487,4.05833339691162,137,0.293333333333333,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"butterfly_dec_4_MB_SampleID_23",433355.000003699,7173796.0000042,2012,816.325984954834,2.09166669038435,158,-0.455833333333333,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0
"butterfly_dec_4_MB_SampleID_24",433355.000006052,7173796.00000933,2013,836.198657989502,3.91666663189729,154,0.21,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,1
"butterfly_dec_4_MB_SampleID_25",433355.000007345,7173796.00000814,2014,708.617623329162,4.31666670739651,133,0.186666666666667,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
"butterfly_dec_4_MB_SampleID_26",433355.000008972,7173796.00000593,2015,931.783555984498,4.61666664977869,140,0.433333333333333,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
"butterfly_dec_4_MB_SampleID_27",433355.000007844,7173796.00000601,2016,755.562352657318,3.59166665871938,155,-0.0383333333333333,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1
"butterfly_dec_4_MB_SampleID_28",433355.000006487,7173796.00000546,2017,688.465489387512,3.14999994883935,192,0.225833333333333,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0
"butterfly_dec_4_MB_SampleID_29",462144.000007935,7190190.00000648,2008,967.22620201111,3.30833331743876,181,-0.378333333333333,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"butterfly_dec_4_MB_SampleID_30",462144.000003828,7190190.00000303,2009,686.460594177246,2.36666675408682,185,-0.243333333333333,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,0,0,1,1
"butterfly_dec_4_MB_SampleID_31",462144.000009362,7190190.00000705,2010,756.494100570679,0.999999999999986,184,-1.1525,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"butterfly_dec_4_MB_SampleID_32",462144.0000048,7190190.00000422,2011,914.12990951538,3.66666670143605,142,0.293333333333333,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"butterfly_dec_4_MB_SampleID_33",462144.000001844,7190190.00000574,2012,890.22306060791,1.74166669634481,177,-0.455833333333333,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0
"butterfly_dec_4_MB_SampleID_34",462144.000003766,7190190.00000132,2013,789.05029964447,3.48333327720562,171,0.21,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1
"butterfly_dec_4_MB_SampleID_35",462144.000007288,7190190.00000456,2014,735.035688400269,3.89166670044263,180,0.186666666666667,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
"butterfly_dec_4_MB_SampleID_36",462144.000007781,7190190.00000864,2015,991.433653831482,4.0750000178814,166,0.433333333333333,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0
"butterfly_dec_4_MB_SampleID_37",462144.000005707,7190190.00000398,2016,797.757587909699,3.19999998807907,174,-0.0383333333333333,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0
"butterfly_dec_4_MB_SampleID_38",462144.000000117,7190190.00000567,2017,686.924814224243,2.63333334525426,207,0.225833333333333,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0
"butterfly_dec_4_MB_SampleID_39",435054.000000618,7212381.00000913,2017,675.829875946045,2.85833332439263,204,0.225833333333333,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0
"butterfly_dec_4_MB_SampleID_40",459844.000006227,7262561.00000443,2016,810.309728622436,2.8416668176651,180,-0.0383333333333333,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0
"butterfly_dec_4_MB_SampleID_41",459844.000004375,7262561.0000008,2017,664.915468215942,2.09166674812635,212,0.225833333333333,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,0
