"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Agrostis capillaris","Betula pubescens","Calamagrostis arundinacea","Calamagrostis epigejos","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Dryopteris carthusiana","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Gymnocarpium dryopteris","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Maianthemum bifolium","Melampyrum pratense","Melampyrum sylvaticum","Orthilia secunda","Picea abies","Pinus sylvestris","Populus tremula","Rubus saxatilis","Salix phylicifolia","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_3_MB_SampleID_118",388870,7174700,2006,469.342606544495,3.73333345105251,164,-0.2075,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1
"plant_dec_3_MB_SampleID_119",580800,7174700,2006,647.737976074219,2.03333334128062,190,-0.2075,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1
"plant_dec_3_MB_SampleID_120",500830,7175500,2006,638.63134765625,2.55833344658216,178,-0.2075,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_121",484840,7190690,2006,613.907700538635,2.50833319624266,182,-0.2075,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_122",532820,7190690,2006,676.974857330322,2.266666640838,186,-0.2075,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_123",580800,7190690,2006,669.139686584472,1.75000000993411,192,-0.2075,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_124",596790,7190690,2006,656.35629081726,1.61666667461396,196,-0.2075,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
"plant_dec_3_MB_SampleID_125",452850,7191090,2006,547.660859107971,3.03333330154419,179,-0.2075,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_126",564800,7191090,2006,706.616491317749,1.89166669050852,191,-0.2075,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
"plant_dec_3_MB_SampleID_127",500830,7191490,2006,623.970676422119,2.42500007152558,177,-0.2075,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
