"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Achillea millefolium","Aegopodium podagraria","Agrostis capillaris","Alnus incana","Anemone nemorosa","Angelica sylvestris","Anthriscus sylvestris","Athyrium filix-femina","Betula pendula","Betula pubescens","Calamagrostis arundinacea","Calamagrostis canescens","Calamagrostis epigejos","Calamagrostis purpurea","Calluna vulgaris","Carex brunnescens","Carex canescens","Carex digitata","Carex globularis","Carex nigra","Carex ovalis","Carex pallescens","Cirsium helenioides","Convallaria majalis","Deschampsia cespitosa","Deschampsia flexuosa","Dryopteris carthusiana","Empetrum nigrum","Epilobium angustifolium","Equisetum arvense","Equisetum palustre","Equisetum sylvaticum","Festuca ovina","Filipendula ulmaria","Fragaria vesca","Galeopsis bifida","Galium boreale","Galium palustre","Galium uliginosum","Geranium sylvaticum","Geum rivale","Goodyera repens","Gymnocarpium dryopteris","Hepatica nobilis","Hypericum maculatum","Juncus filiformis","Juniperus communis","Lathyrus pratensis","Lathyrus vernus","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Lysimachia vulgaris","Maianthemum bifolium","Melampyrum pratense","Melampyrum sylvaticum","Melica nutans","Milium effusum","Orthilia secunda","Oxalis acetosella","Paris quadrifolia","Picea abies","Pinus sylvestris","Polypodium vulgare","Populus tremula","Potentilla erecta","Prunus padus","Pteridium aquilinum","Pyrola minor","Pyrola rotundifolia","Ranunculus acris","Ranunculus auricomus","Ranunculus repens","Rhamnus frangula","Ribes spicatum","Rubus arcticus","Rubus chamaemorus","Rubus idaeus","Rubus saxatilis","Rumex acetosa","Salix caprea","Salix phylicifolia","Solidago virgaurea","Sorbus aucuparia","Stellaria graminea","Stellaria longifolia","Thelypteris phegoteris","Trientalis europaea","Urtica dioica","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea","Veronica chamaedrys","Veronica officinalis","Vicia sepium","Viola canina","Viola palustris","Viola riviniana"
"plant_dec_2_SB_SampleID_21",404870,6678900,1995,638.510026931763,5.68333336462577,114,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0
"plant_dec_2_SB_SampleID_22",324900,6679300,1995,850.506652832031,5.67499998832742,157,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_23",340890,6679300,1995,886.696311950684,5.5416665834685,152,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_24",116980,6679690,1995,577.04144859314,6.42499994238218,95,-0.0808333333333333,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
"plant_dec_2_SB_SampleID_25",212950,6679690,1995,678.082342147827,6.44166670988003,119,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_26",260930,6679690,1995,784.425012588501,5.9249999585251,141,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
"plant_dec_2_SB_SampleID_27",308910,6679700,1995,828.10412979126,5.44166676017145,165,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"plant_dec_2_SB_SampleID_28",356890,6679700,1995,781.847793579101,5.37499991866449,160,-0.0808333333333333,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_29",372880,6679700,1995,731.617218017578,5.44999995455146,156,-0.0808333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"plant_dec_2_SB_SampleID_30",212950,6680090,1995,678.082342147827,6.44166670988003,119,-0.0808333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
