"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Agrostis capillaris","Alnus incana","Anemone nemorosa","Angelica sylvestris","Betula pendula","Betula pubescens","Calamagrostis arundinacea","Calamagrostis epigejos","Calluna vulgaris","Carex digitata","Carex globularis","Convallaria majalis","Deschampsia cespitosa","Deschampsia flexuosa","Dryopteris carthusiana","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Fragaria vesca","Geranium sylvaticum","Goodyera repens","Gymnocarpium dryopteris","Hepatica nobilis","Juniperus communis","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Maianthemum bifolium","Melampyrum pratense","Melampyrum sylvaticum","Melica nutans","Orthilia secunda","Oxalis acetosella","Picea abies","Pinus sylvestris","Populus tremula","Potentilla erecta","Pteridium aquilinum","Rubus idaeus","Rubus saxatilis","Salix caprea","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium vitis-idaea","Veronica chamaedrys","Veronica officinalis","Viola palustris","Viola riviniana"
"plant_dec_3_SB_SampleID_32",340890,6726880,2006,637.602535247803,5.59166661898295,149,-0.2075,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
"plant_dec_3_SB_SampleID_33",372880,6726880,2006,632.280649185181,5.45000014205774,136,-0.2075,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_34",388880,6726880,2006,603.704607009888,5.38333341479301,135,-0.2075,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0
"plant_dec_3_SB_SampleID_35",500830,6726880,2006,553.237591743469,5.40000010778507,143,-0.2075,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1
"plant_dec_3_SB_SampleID_36",516820,6726880,2006,560.970889091491,5.22499996051193,146,-0.2075,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_37",532820,6726880,2006,584.854721069336,5.11666662308076,143,-0.2075,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_38",548810,6726900,2006,582.162851333618,5.04166664679845,142,-0.2075,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_39",420860,6727280,2006,611.239999771118,5.38333332538606,136,-0.2075,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_40",260930,6728080,2006,776.673357009887,6.05000006159148,131,-0.2075,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_41",292910,6742870,2006,636.945096969604,5.74166668454806,128,-0.2075,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,1
"plant_dec_3_SB_SampleID_42",404870,6742870,2006,612.938591957092,5.28333335369824,137,-0.2075,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"plant_dec_3_SB_SampleID_43",500830,6742870,2006,554.856850624084,5.34166684374213,149,-0.2075,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_44",532820,6742870,2006,554.583711624145,5.08333343267441,144,-0.2075,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"plant_dec_3_SB_SampleID_45",564800,6742870,2006,575.28384399414,4.92499996411304,148,-0.2075,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1
