"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Andromeda polifolia","Betula nana","Betula pubescens","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Melampyrum pratense","Melampyrum sylvaticum","Picea abies","Pinus sylvestris","Populus tremula","Rubus chamaemorus","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_2_NB_SampleID_85",487830,7461780,1995,662.44310760498,-0.399999900410565,218,-0.0808333333333333,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"plant_dec_2_NB_SampleID_86",583790,7461780,1995,763.695499420166,-0.791666742414231,218,-0.0808333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"plant_dec_2_NB_SampleID_87",391870,7462380,1995,713.522956848145,-0.725000089655308,219,-0.0808333333333333,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1
"plant_dec_2_NB_SampleID_88",423860,7462380,1995,680.33602809906,-0.491666746015352,220,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_89",487830,7462380,1995,662.44310760498,-0.399999900410565,218,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_90",583790,7462380,1995,763.695499420166,-0.791666742414231,218,-0.0808333333333333,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1
"plant_dec_2_NB_SampleID_91",391870,7462980,1995,713.522956848145,-0.725000089655308,219,-0.0808333333333333,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_92",423860,7462980,1995,680.33602809906,-0.491666746015352,220,-0.0808333333333333,0,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1
"plant_dec_2_NB_SampleID_93",583790,7462980,1995,763.695499420166,-0.791666742414231,218,-0.0808333333333333,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1
"plant_dec_2_NB_SampleID_94",375880,7485770,1995,722.81395816803,-0.791666671633707,221,-0.0808333333333333,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1
