"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Agrostis capillaris","Alnus incana","Andromeda polifolia","Angelica sylvestris","Betula nana","Betula pendula","Betula pubescens","Calamagrostis arundinacea","Calamagrostis canescens","Calamagrostis epigejos","Calamagrostis purpurea","Calluna vulgaris","Carex canescens","Carex globularis","Cirsium helenioides","Convallaria majalis","Cornus suecica","Deschampsia cespitosa","Deschampsia flexuosa","Dryopteris carthusiana","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Eriophorum vaginatum","Geranium sylvaticum","Gymnocarpium dryopteris","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Maianthemum bifolium","Melampyrum pratense","Melampyrum sylvaticum","Melica nutans","Orthilia secunda","Oxalis acetosella","Picea abies","Pinus sylvestris","Populus tremula","Rubus arcticus","Rubus chamaemorus","Rubus idaeus","Rubus saxatilis","Salix aurita","Salix caprea","Salix phylicifolia","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium myrtillus","Vaccinium oxycoccos","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_1_MB_SampleID_148",340890,7015160,1985,587.475279808044,0.558333322405803,173,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_149",356890,7015160,1985,633.832810401917,0.291666716337207,192,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
"plant_dec_1_MB_SampleID_150",372880,7015160,1985,626.059659957886,0.274999986092245,192,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1
"plant_dec_1_MB_SampleID_151",420860,7015160,1985,646.654146194458,0.324999963243799,190,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_152",580800,7015160,1985,817.665194511413,-0.20833326379458,195,-0.183333333333333,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1
"plant_dec_1_MB_SampleID_153",596790,7015160,1985,775.119815826416,-0.624999930461258,196,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"plant_dec_1_MB_SampleID_154",660760,7015160,1985,787.233581542969,-0.299999992052728,188,-0.183333333333333,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1
"plant_dec_1_MB_SampleID_155",676760,7015160,1985,729.960352897644,-0.43333341677984,191,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_156",692750,7015160,1985,720.970592498779,-0.416666706403101,191,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_157",308910,7015560,1985,539.728775024414,0.541666716337206,179,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_158",356890,7015560,1985,633.832810401917,0.291666716337207,192,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"plant_dec_1_MB_SampleID_159",372880,7015560,1985,626.059659957886,0.274999986092245,192,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
"plant_dec_1_MB_SampleID_160",388870,7015560,1985,579.708449363708,0.233333349227909,192,-0.183333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"plant_dec_1_MB_SampleID_161",420860,7015560,1985,646.654146194458,0.324999963243799,190,-0.183333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
"plant_dec_1_MB_SampleID_162",580800,7015560,1985,817.665194511413,-0.20833326379458,195,-0.183333333333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
"plant_dec_1_MB_SampleID_163",596790,7015560,1985,775.119815826416,-0.624999930461258,196,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"plant_dec_1_MB_SampleID_164",676760,7015560,1985,729.960352897644,-0.43333341677984,191,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_165",276920,7015960,1985,459.90313243866,0.683333377043402,168,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_166",324900,7015960,1985,556.102986335755,0.616666729251539,180,-0.183333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
"plant_dec_1_MB_SampleID_167",356890,7015960,1985,633.832810401917,0.291666716337207,192,-0.183333333333333,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1
"plant_dec_1_MB_SampleID_168",372880,7015960,1985,626.059659957886,0.274999986092245,192,-0.183333333333333,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1
"plant_dec_1_MB_SampleID_169",388870,7015960,1985,579.708449363708,0.233333349227909,192,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_170",420860,7015960,1985,646.654146194458,0.324999963243799,190,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
"plant_dec_1_MB_SampleID_171",580800,7015960,1985,817.665194511413,-0.20833326379458,195,-0.183333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
"plant_dec_1_MB_SampleID_172",596790,7015960,1985,775.119815826416,-0.624999930461258,196,-0.183333333333333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1
