"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Andromeda polifolia","Betula nana","Betula pubescens","Calluna vulgaris","Carex globularis","Deschampsia flexuosa","Empetrum nigrum","Epilobium angustifolium","Equisetum sylvaticum","Geranium sylvaticum","Juniperus communis","Ledum palustre","Linnaea borealis","Luzula pilosa","Lycopodium annotinum","Melampyrum pratense","Picea abies","Pinus sylvestris","Populus tremula","Rubus chamaemorus","Solidago virgaurea","Sorbus aucuparia","Trientalis europaea","Vaccinium microcarpon","Vaccinium myrtillus","Vaccinium uliginosum","Vaccinium vitis-idaea"
"plant_dec_1_NB_SampleID_11",532820,7271460,1985,710.644339561462,-1.99999989072482,208,-0.183333333333333,0,0,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1
"plant_dec_1_NB_SampleID_12",548810,7271460,1985,768.593587875366,-2.23333326975505,205,-0.183333333333333,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_13",532820,7271860,1985,710.644339561462,-1.99999989072482,208,-0.183333333333333,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_14",516820,7286650,1985,699.443202972412,-1.99166667461396,211,-0.183333333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_15",532820,7286650,1985,712.86433506012,-2.17499995231629,211,-0.183333333333333,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_16",548810,7286650,1985,743.660446166992,-2.40833327174186,211,-0.183333333333333,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_17",516820,7287450,1985,716.398112297058,-2.01666651169458,211,-0.183333333333333,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1
"plant_dec_1_NB_SampleID_18",532820,7287850,1985,707.476525306701,-2.33333351214725,212,-0.183333333333333,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1
"plant_dec_1_NB_SampleID_19",548810,7287850,1985,711.012815475463,-2.52499995628992,212,-0.183333333333333,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"plant_dec_1_NB_SampleID_20",503830,7293850,1985,696.018021583557,-1.94166682163874,209,-0.183333333333333,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1
