"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Rangifer tarandus fennicus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_MB_SampleID_57",310530,6901140,2017,751.141843795776,4.06666666766008,139,0.225833333333333,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_58",295780,6902020,2013,695.007299423218,4.74166670193275,138,0.21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_59",289240,6905730,2008,938.422109127045,4.95000007003546,138,-0.378333333333333,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_60",275500,6909650,2015,821.769187927246,5.35833340324462,108,0.433333333333333,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1
"mammals_dec_4_MB_SampleID_61",275500,6909650,2017,724.753151893616,4.12499994536241,132,0.225833333333333,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1
"mammals_dec_4_MB_SampleID_62",252140,6911710,2008,984.162892341614,5.01666660110156,130,-0.378333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_63",252140,6911710,2009,621.137878417969,3.87500005960465,136,-0.243333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_64",252140,6911710,2010,665.624366760254,2.43333339691164,168,-1.1525,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_65",252140,6911710,2013,813.393566131592,4.7666667252779,157,0.21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_66",252140,6911710,2014,789.552627563477,5.20000001043082,107,0.186666666666667,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_67",252140,6911710,2015,922.635839462281,5.35833331756294,119,0.433333333333333,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_68",289310,6913890,2008,913.646649360657,4.88333339989186,134,-0.378333333333333,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_69",289310,6913890,2016,709.576822280884,4.14999999602635,140,-0.0383333333333333,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_70",289310,6913890,2017,725.250877380371,4.06666658073665,132,0.225833333333333,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"mammals_dec_4_MB_SampleID_71",349580,6914660,2008,1025.33570098877,4.66666671447456,148,-0.378333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_72",349580,6914660,2009,615.51311302185,3.50000002483526,145,-0.243333333333333,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1
"mammals_dec_4_MB_SampleID_73",349580,6914660,2013,733.095185279845,4.63333332290252,152,0.21,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1
"mammals_dec_4_MB_SampleID_74",391270,6922080,2009,690.478837966918,3.30833333730697,159,-0.243333333333333,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
