"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Rangifer tarandus fennicus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_2_MB_SampleID_1",323460,6857580,1993,817.003274440765,3.38333337505659,162,0.179166666666667,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_2",231570,6864020,1991,827.98797416687,4.9999999900659,115,0.268333333333333,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
"mammals_dec_2_MB_SampleID_3",305800,6869240,1996,846.047499656678,2.87499996026357,155,-0.214166666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_4",258540,6869250,1989,818.382614135742,5.34166660656531,147,0.701666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_5",258540,6869250,1991,881.283936500549,4.40833342075348,125,0.268333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"mammals_dec_2_MB_SampleID_6",258540,6869250,1995,1100.15086746216,4.30833341181278,160,-0.0808333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_7",258540,6869250,1996,797.599345207215,3.25000002980232,153,-0.214166666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_8",317650,6870450,1995,750.408782958985,3.88333332538604,166,-0.0808333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_9",312120,6870980,1996,846.047499656678,2.87499996026357,155,-0.214166666666667,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0
"mammals_dec_2_MB_SampleID_10",327390,6873950,1990,872.898300170898,4.40000002955397,154,0.594166666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_11",240760,6874090,1990,832.148347854615,5.14166658744216,145,0.594166666666667,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
"mammals_dec_2_MB_SampleID_12",240760,6874090,1992,891.913600921631,4.74999997578561,153,0.580833333333333,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1
"mammals_dec_2_MB_SampleID_13",271010,6874430,1990,857.201919555663,4.75833338064452,153,0.594166666666667,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_14",271010,6874430,1991,874.566344261169,4.31666681170463,126,0.268333333333333,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1
"mammals_dec_2_MB_SampleID_15",271010,6874430,1996,822.559463500978,3.15000000596046,154,-0.214166666666667,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_16",271010,6874430,1997,754.944652557373,4.26666676004729,146,-0.156666666666667,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_17",230520,6875230,1990,796.430179595948,5.34166666616996,128,0.594166666666667,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
"mammals_dec_2_MB_SampleID_18",230520,6875230,1992,883.542344093323,4.97500003129245,139,0.580833333333333,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1
"mammals_dec_2_MB_SampleID_19",311250,6878230,1990,901.524543762207,4.39999999105931,161,0.594166666666667,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1
"mammals_dec_2_MB_SampleID_20",311250,6878230,1993,781.077186584473,3.22499991456667,152,0.179166666666667,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_21",311250,6878230,1994,707.018200874328,2.94166661302248,171,0.575833333333333,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_22",276460,6878440,1993,815.479910373687,3.4000000655651,160,0.179166666666667,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_23",276460,6878440,1995,975.339951515197,4.01666666070621,175,-0.0808333333333333,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_24",276460,6878440,1996,821.883166313172,2.9666666885217,161,-0.214166666666667,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_25",284960,6879410,1992,919.069486618042,4.19999994399647,183,0.580833333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_26",284960,6879410,1994,689.295438289643,3.10833340883255,140,0.575833333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_27",304900,6880140,1992,892.503438949585,4.04166662444671,191,0.580833333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_28",304900,6880140,1993,781.077186584473,3.22499991456667,152,0.179166666666667,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_29",304900,6880140,1994,707.018200874328,2.94166661302248,171,0.575833333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_30",243260,6882310,1989,846.942363739013,5.45000006010135,145,0.701666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_31",243260,6882310,1990,801.080291748047,5.00833348681529,142,0.594166666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_32",243260,6882310,1994,711.674576044083,3.62500003973643,155,0.575833333333333,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_33",243260,6882310,1995,937.851049423218,4.44166671236356,161,-0.0808333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_34",227820,6883830,1990,780.418376922608,5.16666657353441,129,0.594166666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_35",227820,6883830,1991,812.902613639832,4.71666656931241,117,0.268333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_36",227820,6883830,1992,908.679634094238,4.79166673496366,158,0.580833333333333,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_37",248360,6886710,1989,855.421560287476,5.37500000745057,150,0.701666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_38",248360,6886710,1996,758.384831428528,3.25833338499069,157,-0.214166666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"mammals_dec_2_MB_SampleID_39",268170,6886740,1989,834.627275466919,5.15833335245648,148,0.701666666666667,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1
"mammals_dec_2_MB_SampleID_40",268170,6886740,1991,861.571935653687,4.20833332339922,125,0.268333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_41",268170,6886740,1992,909.493046760559,4.2333333324641,186,0.580833333333333,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
"mammals_dec_2_MB_SampleID_42",268170,6886740,1993,840.950288772583,3.49166673421859,160,0.179166666666667,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_43",268170,6886740,1994,705.289799332619,3.25833337505658,154,0.575833333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_44",268170,6886740,1995,1016.23781108856,4.09166663885117,175,-0.0808333333333333,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
"mammals_dec_2_MB_SampleID_45",320390,6888810,1991,869.991930007935,3.81666662295659,126,0.268333333333333,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1
"mammals_dec_2_MB_SampleID_46",320390,6888810,1993,756.267566204071,3.05833328763643,155,0.179166666666667,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_47",285440,6890130,1993,759.572335720062,3.30000000198683,155,0.179166666666667,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_48",285440,6890130,1996,848.786170959473,2.82500006258489,155,-0.214166666666667,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
"mammals_dec_2_MB_SampleID_49",233850,6891480,1992,950.137598991395,4.50833331358929,172,0.580833333333333,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
"mammals_dec_2_MB_SampleID_50",233850,6891480,1995,892.456380844116,4.30833331743877,158,-0.0808333333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mammals_dec_2_MB_SampleID_51",288550,6893700,1994,665.118664860725,2.99166664481163,137,0.575833333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_52",310530,6901140,1989,776.934385299682,4.9666667462637,152,0.701666666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_53",310530,6901140,1992,872.914270401001,4.01666661972799,206,0.580833333333333,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_54",289240,6905730,1990,854.798191070556,4.38333335891366,146,0.594166666666667,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_55",289240,6905730,1991,796.041460037232,4.01666665077209,125,0.268333333333333,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_56",289240,6905730,1995,822.819259643555,3.84166653951009,166,-0.0808333333333333,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0
"mammals_dec_2_MB_SampleID_57",289240,6905730,1996,828.628478050232,2.75833337008953,154,-0.214166666666667,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_58",289240,6905730,1997,700.433219909668,3.83333319425583,140,-0.156666666666667,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_59",275500,6909650,1991,743.378642082214,4.04166663686435,121,0.268333333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_60",275500,6909650,1992,919.472882270813,4.05833327708145,182,0.580833333333333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"mammals_dec_2_MB_SampleID_61",275500,6909650,1995,771.816963195801,3.82499993840853,158,-0.0808333333333333,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
"mammals_dec_2_MB_SampleID_62",296370,6910480,1991,786.423162460327,3.9583332935969,130,0.268333333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_63",296370,6910480,1992,879.055835723877,4.00833339865008,215,0.580833333333333,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1
"mammals_dec_2_MB_SampleID_64",296370,6910480,1994,637.146876811981,2.80000004172325,143,0.575833333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_65",252140,6911710,1992,912.973979949952,4.15833338722587,185,0.580833333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_66",252140,6911710,1993,849.816314697267,3.38333324591319,159,0.179166666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_67",252140,6911710,1994,651.047541260719,3.08333323399226,173,0.575833333333333,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_68",252140,6911710,1996,740.940459251404,2.86666668951511,161,-0.214166666666667,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_69",362350,6912010,1991,925.193203926087,3.59166664878528,132,0.268333333333333,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_70",362350,6912010,1993,749.108868122101,2.90833327174186,177,0.179166666666667,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1
"mammals_dec_2_MB_SampleID_71",246800,6912280,1993,849.816314697267,3.38333324591319,159,0.179166666666667,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_72",246800,6912280,1995,839.470497131348,3.90833339095116,170,-0.0808333333333333,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"mammals_dec_2_MB_SampleID_73",246800,6912280,1996,740.940459251404,2.86666668951511,161,-0.214166666666667,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"mammals_dec_2_MB_SampleID_74",289310,6913890,1992,913.410603523254,4.05000000384946,198,0.580833333333333,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_75",289310,6913890,1996,811.232103347779,2.6749999821186,151,-0.214166666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_MB_SampleID_76",349580,6914660,1991,854.248906135559,3.71666665871939,133,0.268333333333333,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1
"mammals_dec_2_MB_SampleID_77",349580,6914660,1993,699.375219345093,3.00000001986822,171,0.179166666666667,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1
