"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_3_SB_SampleID_84",396540,6679770,2000,853.290457725525,6.67500004669031,82,0.206666666666667,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
"mammals_dec_3_SB_SampleID_85",257950,6681000,2001,906.506039619445,5.72499995927016,142,-0.1825,1,0,0,0,1,1,0,0,0,0,1,0,1,1,1,1
"mammals_dec_3_SB_SampleID_86",201350,6681530,2001,946.506214141846,6.37500015397867,82,-0.1825,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_87",428660,6684350,2003,696.247883796692,4.97499993816018,126,0.0975,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_88",397450,6684720,2001,877.579782485962,5.44166661798953,143,-0.1825,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_89",397450,6684720,2002,567.546883583069,5.56666663909952,159,0.0391666666666667,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_3_SB_SampleID_90",443560,6684840,2003,706.319539070129,4.87500003476939,129,0.0975,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1
"mammals_dec_3_SB_SampleID_91",378600,6685300,2001,878.966632843018,5.41666663872699,142,-0.1825,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1
"mammals_dec_3_SB_SampleID_92",378600,6685300,2002,574.894575595856,5.56666668131947,169,0.0391666666666667,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1
"mammals_dec_3_SB_SampleID_93",378600,6685300,2006,615.002161026001,6.25833324591319,128,-0.2075,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_94",320760,6685740,2001,848.394094467163,5.38333327571551,154,-0.1825,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"mammals_dec_3_SB_SampleID_95",400700,6686730,2000,853.290457725525,6.67500004669031,82,0.206666666666667,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1
"mammals_dec_3_SB_SampleID_96",347540,6687090,2007,907.926696777343,6.12500002980232,84,0.173333333333333,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_3_SB_SampleID_97",318820,6687630,1998,987.674301147462,4.62499996026358,159,-0.480833333333333,1,0,0,0,0,1,0,1,0,1,0,0,1,1,1,1
"mammals_dec_3_SB_SampleID_98",318820,6687630,2000,1066.18386268616,6.39999997615814,114,0.206666666666667,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1
