"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Capreolus capreolus","Felis catus","Gulo gulo","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_SB_SampleID_754",537410,6885390,2009,642.195328712463,3.43333333730698,155,-0.243333333333333,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
"mammals_dec_4_SB_SampleID_755",537410,6885390,2010,646.291664123535,2.33333325386047,170,-1.1525,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_756",537410,6885390,2016,921.398910522462,4.20833337306977,184,-0.0383333333333333,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1
"mammals_dec_4_SB_SampleID_757",224110,6885570,2017,833.848327636718,4.97499993257225,132,0.225833333333333,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
"mammals_dec_4_SB_SampleID_758",631670,6886430,2011,820.807153701782,4.54999988277753,150,0.293333333333333,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
"mammals_dec_4_SB_SampleID_759",631670,6886430,2014,712.772964000702,5.04999988898634,153,0.186666666666667,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
"mammals_dec_4_SB_SampleID_760",335920,6886510,2015,833.4627866745,5.43333341677984,121,0.433333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_761",529350,6888530,2009,607.272707939148,3.54999995231628,154,-0.243333333333333,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1
"mammals_dec_4_SB_SampleID_762",633760,6890740,2014,660.360793590546,4.93333325100441,137,0.186666666666667,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1
"mammals_dec_4_SB_SampleID_763",643270,6892610,2017,763.848924636841,3.92499988091489,176,0.225833333333333,1,0,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1
"mammals_dec_4_SB_SampleID_764",466260,6893660,2016,875.67292881012,4.00833346446356,184,-0.0383333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_SB_SampleID_765",456900,6894970,2011,893.770765304565,4.81666666766008,140,0.293333333333333,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_766",456900,6894970,2012,959.678573608399,3.01666662096977,165,-0.455833333333333,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_767",456900,6894970,2015,817.345729827881,5.38333337319393,130,0.433333333333333,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1
"mammals_dec_4_SB_SampleID_768",456900,6894970,2017,851.300639152527,4.09166665623585,171,0.225833333333333,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_SB_SampleID_769",358150,6895240,2008,1076.71203899384,4.89166671286027,143,-0.378333333333333,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1
"mammals_dec_4_SB_SampleID_770",358150,6895240,2013,737.779191017151,4.85833346347015,147,0.21,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1
"mammals_dec_4_SB_SampleID_771",358150,6895240,2014,658.591673851013,5.15833327422538,77,0.186666666666667,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1
"mammals_dec_4_SB_SampleID_772",400210,6900180,2008,1193.32427406311,4.57499997628232,150,-0.378333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_773",400210,6900180,2011,1024.54869270325,4.66666656732559,138,0.293333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_774",411950,6900420,2008,1149.96044540405,4.71666664505998,144,-0.378333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_775",411950,6900420,2010,736.608880996704,2.33333329359691,177,-1.1525,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1
"mammals_dec_4_SB_SampleID_776",411950,6900420,2011,977.431272506713,4.82499994461734,138,0.293333333333333,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_777",418230,6900470,2012,1045.05735397339,2.9416666328907,164,-0.455833333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_SB_SampleID_778",418230,6900470,2017,822.034140586853,3.99166675408681,162,0.225833333333333,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_779",495980,6902460,2009,615.788152694702,3.54166665673256,173,-0.243333333333333,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_780",531620,6903610,2011,776.559631347656,4.7666664669911,134,0.293333333333333,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
"mammals_dec_4_SB_SampleID_781",603060,6904250,2009,698.710389137268,3.46666664878526,164,-0.243333333333333,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
"mammals_dec_4_SB_SampleID_782",603060,6904250,2012,1020.60359573364,3.07499994834265,164,-0.455833333333333,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1
"mammals_dec_4_SB_SampleID_783",572260,6904630,2009,642.861525535583,3.80000001688797,153,-0.243333333333333,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1
"mammals_dec_4_SB_SampleID_784",572260,6904630,2011,715.017677307129,4.90833321213722,141,0.293333333333333,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
"mammals_dec_4_SB_SampleID_785",579870,6904880,2013,872.394223213196,5.1166666150093,145,0.21,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1
"mammals_dec_4_SB_SampleID_786",579850,6905280,2015,832.958312988281,5.57500006010134,121,0.433333333333333,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1
"mammals_dec_4_SB_SampleID_787",579850,6905280,2017,812.609010696412,4.25833330303431,177,0.225833333333333,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1
"mammals_dec_4_SB_SampleID_788",634520,6905690,2014,602.242653369903,4.98333332252999,133,0.186666666666667,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_789",658180,6906810,2010,675.081504821777,1.98333340883255,169,-1.1525,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1
"mammals_dec_4_SB_SampleID_790",658180,6906810,2011,806.245801925659,4.27499998236696,143,0.293333333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_4_SB_SampleID_791",371870,6907000,2008,1133.35022449493,4.50833338499069,152,-0.378333333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"mammals_dec_4_SB_SampleID_792",371870,6907000,2009,663.693881988526,3.36666661500931,158,-0.243333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_793",371870,6907000,2013,778.626896858216,4.54166664679845,157,0.21,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_794",651320,6907220,2014,608.777965068817,4.77500000223517,131,0.186666666666667,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1
"mammals_dec_4_SB_SampleID_795",687660,6907240,2014,732.906997680664,4.1833333907028,143,0.186666666666667,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0
"mammals_dec_4_SB_SampleID_796",340940,6907970,2009,598.261770248413,3.45833327869575,142,-0.243333333333333,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
"mammals_dec_4_SB_SampleID_797",401930,6908790,2017,842.657312393189,3.92500005165736,171,0.225833333333333,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1
"mammals_dec_4_SB_SampleID_798",468690,6908790,2012,930.615116119385,3.05833333730697,164,-0.455833333333333,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1
"mammals_dec_4_SB_SampleID_799",468690,6908790,2014,690.913184165955,5.13333345080415,108,0.186666666666667,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1
"mammals_dec_4_SB_SampleID_800",514490,6908810,2012,967.540527343749,2.98333339889844,165,-0.455833333333333,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_4_SB_SampleID_801",523820,6910100,2014,714.060423851013,5.15000012641153,105,0.186666666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"mammals_dec_4_SB_SampleID_802",523820,6910100,2015,801.831783294678,5.67500003799796,115,0.433333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
"mammals_dec_4_SB_SampleID_803",523820,6910100,2016,904.296005249023,4.5583332379659,161,-0.0383333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_804",523820,6910100,2017,749.394235610962,4.36666662991047,161,0.225833333333333,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1
"mammals_dec_4_SB_SampleID_805",563530,6911080,2008,938.231674194335,4.79999990264575,147,-0.378333333333333,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1
"mammals_dec_4_SB_SampleID_806",568180,6911140,2014,809.937260627746,5.16666653255621,136,0.186666666666667,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_807",614010,6911170,2008,879.538949012756,4.7583332558473,137,-0.378333333333333,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_808",614010,6911170,2009,694.203731536865,3.46666662146647,166,-0.243333333333333,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,1,1
"mammals_dec_4_SB_SampleID_809",614010,6911170,2011,739.194704055786,4.59166676799457,145,0.293333333333333,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1
"mammals_dec_4_SB_SampleID_810",614010,6911170,2013,802.906131744385,4.90833335121473,147,0.21,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0
"mammals_dec_4_SB_SampleID_811",614010,6911170,2017,699.554132461548,4.34166664381823,171,0.225833333333333,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1
"mammals_dec_4_SB_SampleID_812",516310,6911300,2010,646.677032470703,2.31666678190232,179,-1.1525,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
"mammals_dec_4_SB_SampleID_813",516310,6911300,2015,802.675102233887,5.37500003973643,132,0.433333333333333,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_814",388730,6912550,2014,737.661726951599,4.81666654845078,121,0.186666666666667,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
"mammals_dec_4_SB_SampleID_815",598120,6912910,2011,820.691429138183,4.44166670491299,151,0.293333333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"mammals_dec_4_SB_SampleID_816",598120,6912910,2012,1026.80914115906,2.97499996920425,165,-0.455833333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"mammals_dec_4_SB_SampleID_817",673320,6913020,2008,952.335214614867,4.27500006556512,146,-0.378333333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"mammals_dec_4_SB_SampleID_818",673320,6913020,2010,729.036073684692,1.77500011523565,167,-1.1525,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
"mammals_dec_4_SB_SampleID_819",673320,6913020,2017,792.077022552491,3.64166666877766,171,0.225833333333333,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1
"mammals_dec_4_SB_SampleID_820",477970,6914330,2016,826.797048568726,4.27500005563099,161,-0.0383333333333333,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
"mammals_dec_4_SB_SampleID_821",683600,6915730,2016,1042.29486274719,3.86666675408682,162,-0.0383333333333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
"mammals_dec_4_SB_SampleID_822",424300,6916400,2010,691.523252487183,2.21666659911473,174,-1.1525,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1
"mammals_dec_4_SB_SampleID_823",424300,6916400,2013,796.584115028381,4.69166674216588,147,0.21,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1
"mammals_dec_4_SB_SampleID_824",629460,6916740,2008,860.608794212341,4.69999999801319,137,-0.378333333333333,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"mammals_dec_4_SB_SampleID_825",629460,6916740,2017,659.660886764527,4.21666663885116,164,0.225833333333333,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
"mammals_dec_4_SB_SampleID_826",563140,6917410,2015,893.28503036499,5.38333326578141,130,0.433333333333333,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,1
