"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Canis lupus","Lepus europaeus","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Odocoileus virginianus","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_2_SB_SampleID_96",373340,6732030,1991,745.573157310486,4.84166665871938,129,0.268333333333333,0,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_97",373340,6732030,1994,665.661584377289,3.99166662494341,130,0.575833333333333,1,0,1,1,0,0,0,1,0,0,1,1,1,1
"mammals_dec_2_SB_SampleID_98",389440,6732080,1991,725.67172908783,4.82499998807907,129,0.268333333333333,0,0,1,1,1,0,0,0,0,1,0,1,1,1
"mammals_dec_2_SB_SampleID_99",508540,6732080,1989,699.667129516601,6.08333341777324,126,0.701666666666667,1,0,0,1,0,0,0,0,0,1,0,1,1,1
"mammals_dec_2_SB_SampleID_100",508540,6732080,1993,656.857304573059,3.89999999602635,129,0.179166666666667,0,0,0,1,1,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_101",508540,6732080,1995,760.133556365967,4.85833334674438,172,-0.0808333333333333,1,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_102",508540,6732080,1996,836.630603790284,3.59166679779689,142,-0.214166666666667,1,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_103",335260,6732330,1995,814.497135162354,4.82499996821085,176,-0.0808333333333333,1,0,0,1,0,0,0,0,0,0,1,1,0,1
"mammals_dec_2_SB_SampleID_104",530270,6735540,1992,637.896214485169,5.02500003700456,171,0.580833333333333,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_105",530270,6735540,1993,668.693675518035,3.8083332479,131,0.179166666666667,0,0,0,1,0,0,1,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_106",530270,6735540,1994,817.978531122208,3.87500003973642,140,0.575833333333333,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_107",530270,6735540,1996,867.682146310807,3.44999996821085,135,-0.214166666666667,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_108",350590,6736100,1991,766.880044937134,4.89166675011317,131,0.268333333333333,1,0,0,1,0,0,0,0,0,1,1,1,1,1
"mammals_dec_2_SB_SampleID_109",454000,6736910,1990,783.457635879517,5.50833330055078,121,0.594166666666667,0,0,0,1,0,1,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_110",229910,6737890,1992,698.503262519836,5.85833345974485,90,0.580833333333333,1,0,0,1,0,0,0,0,0,0,0,0,0,1
"mammals_dec_2_SB_SampleID_111",229910,6737890,1993,734.542448043824,4.94166662668188,90,0.179166666666667,0,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_112",229910,6737890,1994,715.176408857107,4.64166666567326,113,0.575833333333333,0,0,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_113",229910,6737890,1995,789.865776062012,5.51666669671733,137,-0.0808333333333333,0,0,0,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_114",229910,6737890,1997,830.231235504151,5.55833330315848,122,-0.156666666666667,1,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_115",560150,6739720,1990,821.194635391235,5.19166670677564,133,0.594166666666667,1,0,0,1,0,0,0,1,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_116",560150,6739720,1991,943.679590225219,4.71666665871938,138,0.268333333333333,1,0,0,1,0,0,0,1,1,0,0,1,0,1
"mammals_dec_2_SB_SampleID_117",560150,6739720,1994,795.275223731995,3.84166667858759,149,0.575833333333333,1,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_118",560150,6739720,1995,759.396999359131,4.7166665494442,173,-0.0808333333333333,1,0,0,1,0,0,0,1,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_119",560150,6739720,1996,845.44206571579,3.39166662096977,140,-0.214166666666667,1,0,0,1,0,1,0,0,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_120",560150,6739720,1997,651.56233215332,4.25000006953875,132,-0.156666666666667,1,0,0,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_121",408910,6740210,1989,842.861213684083,5.98333336537084,134,0.701666666666667,1,0,0,1,0,0,0,1,0,1,0,1,0,1
"mammals_dec_2_SB_SampleID_122",408910,6740210,1994,687.74274289608,3.8833334048589,140,0.575833333333333,1,0,1,1,0,0,0,0,1,0,1,1,1,1
"mammals_dec_2_SB_SampleID_123",389570,6740220,1992,709.390515327454,5.09999996547896,159,0.580833333333333,1,0,1,1,0,0,1,0,0,0,0,0,0,1
"mammals_dec_2_SB_SampleID_124",389570,6740220,1993,698.452485322952,4.00833333532016,107,0.179166666666667,0,0,0,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_125",389570,6740220,1996,760.661265850067,3.52499997615814,139,-0.214166666666667,0,0,0,1,1,0,0,0,0,0,0,0,0,1
"mammals_dec_2_SB_SampleID_126",444070,6740990,1990,767.183209419251,5.5416666517655,121,0.594166666666667,1,0,1,1,0,0,0,0,0,0,0,1,1,1
"mammals_dec_2_SB_SampleID_127",444070,6740990,1994,728.099331617355,4.06666666269302,140,0.575833333333333,1,0,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_128",444070,6740990,1996,811.670814037322,3.63333318630855,137,-0.214166666666667,1,0,1,1,0,0,0,0,0,0,0,1,0,1
"mammals_dec_2_SB_SampleID_129",493480,6741880,1991,791.25541305542,4.86666665474574,136,0.268333333333333,0,0,1,1,0,0,0,0,0,0,0,0,1,1
