"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Gulo gulo","Lepus timidus","Lutra lutra","Mustela erminea","Mustela nivalis","Neovison vison","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_3_NB_SampleID_610",568210,7413370,1999,662.414583206177,-0.22499987483025,204,0.390833333333333,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_611",568210,7413370,2000,811.46057510376,1.39166667871177,188,0.206666666666667,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_612",568210,7413370,2001,571.305536270142,-0.516666717206445,186,-0.1825,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_613",568210,7413370,2002,693.984924316406,-0.700000186761218,192,0.0391666666666667,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_614",568210,7413370,2003,695.39594078064,0.491666838526733,192,0.0975,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_615",568210,7413370,2004,668.59467124939,0.541666698331637,181,0.2425,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_616",568210,7413370,2005,697.550310134888,1.51666655143102,182,-0.2675,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_617",568210,7413370,2006,517.255353927612,0.574999958276743,195,-0.2075,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_618",577890,7413510,1998,983.454139709472,-2.05833322182298,212,-0.480833333333333,0,1,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_619",577890,7413510,1999,669.235280990601,-0.333333333333337,203,0.390833333333333,1,0,1,0,0,0,0,0,0,0
"mammals_dec_3_NB_SampleID_620",577890,7413510,2000,780.762392044067,1.25833327757816,202,0.206666666666667,1,0,1,0,0,1,0,1,0,0
"mammals_dec_3_NB_SampleID_621",577890,7413510,2001,526.398407936096,-0.658333187301948,192,-0.1825,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_622",577890,7413510,2002,654.203565597535,-0.841666579246516,191,0.0391666666666667,0,0,1,0,0,1,0,0,0,1
"mammals_dec_3_NB_SampleID_623",577890,7413510,2003,674.612745285034,0.325000103563065,200,0.0975,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_624",577890,7413510,2004,601.630047798157,0.399999912207332,190,0.2425,0,0,1,0,1,0,0,1,1,1
"mammals_dec_3_NB_SampleID_625",577890,7413510,2005,648.397243499756,1.38333338871599,189,-0.2675,0,0,1,0,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_626",577890,7413510,2006,481.61434173584,0.408333311478299,197,-0.2075,0,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_627",394190,7413840,1998,823.849695205689,-0.783333400885266,197,-0.480833333333333,1,0,1,0,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_628",394190,7413840,1999,552.437087059021,0.441666732231778,181,0.390833333333333,1,0,1,0,0,1,0,1,0,1
"mammals_dec_3_NB_SampleID_629",394190,7413840,2000,906.203022003174,1.76666668678323,180,0.206666666666667,1,0,1,0,0,1,0,1,1,1
"mammals_dec_3_NB_SampleID_630",394190,7413840,2002,736.150087833403,0.324999888737994,194,0.0391666666666667,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_631",394190,7413840,2003,638.934490203858,1.06666658446192,206,0.0975,1,0,1,0,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_632",394190,7413840,2004,799.831509590149,0.933333232998847,187,0.2425,1,0,1,1,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_633",394190,7413840,2005,775.449934005737,2.06666680177052,193,-0.2675,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_634",394190,7413840,2006,459.13054561615,1.31666672229769,194,-0.2075,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_635",394190,7413840,2007,852.631328582763,1.40833336114883,184,0.173333333333333,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_636",436210,7413860,1998,933.522130966188,-0.891666650772085,206,-0.480833333333333,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_637",436210,7413860,1999,683.773918151856,0.366666624943414,198,0.390833333333333,1,0,1,0,0,0,0,0,0,0
"mammals_dec_3_NB_SampleID_638",436210,7413860,2000,877.618074417114,1.85833330576619,200,0.206666666666667,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_639",436210,7413860,2001,836.782146453858,0.349999902149042,202,-0.1825,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_640",457820,7414390,1998,913.367816925049,-1.19999989370505,211,-0.480833333333333,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_641",457820,7414390,1999,704.989252090453,0.1333333303531,202,0.390833333333333,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_642",457820,7414390,2000,853.569362640381,1.65833336114882,204,0.206666666666667,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_643",538170,7415650,1998,909.508943557739,-1.60833338896433,203,-0.480833333333333,0,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_644",538170,7415650,1999,631.397964477539,-0.0249999016523356,184,0.390833333333333,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_645",538170,7415650,2000,816.8747215271,1.62500006581346,193,0.206666666666667,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_646",538170,7415650,2002,679.151494026184,-0.325000037749615,193,0.0391666666666667,1,0,1,0,0,0,0,0,0,0
"mammals_dec_3_NB_SampleID_647",538170,7415650,2004,726.779801368713,0.733333246161545,185,0.2425,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_648",538170,7415650,2005,737.895877838135,1.71666672267021,189,-0.2675,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_649",538170,7415650,2006,544.172163009644,0.816666722297662,203,-0.2075,1,0,1,1,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_650",430200,7416020,1998,930.759103775025,-0.708333452542627,197,-0.480833333333333,1,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_651",430200,7416020,1999,647.370872497558,0.53333324193955,188,0.390833333333333,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_652",374770,7418090,1998,973.669464111329,-0.950000231464704,200,-0.480833333333333,1,0,1,0,0,0,0,1,1,1
"mammals_dec_3_NB_SampleID_653",374770,7418090,1999,706.807796478271,0.291666616996136,183,0.390833333333333,0,0,1,0,0,0,0,1,0,1
"mammals_dec_3_NB_SampleID_654",374770,7418090,2001,822.887290954591,0.258333404858913,186,-0.1825,1,0,1,0,0,0,0,0,1,1
"mammals_dec_3_NB_SampleID_655",374770,7418090,2002,695.579889535904,0.233333388964337,191,0.0391666666666667,1,0,1,0,0,0,0,0,0,1
"mammals_dec_3_NB_SampleID_656",374770,7418090,2005,738.165948867798,1.85833325982095,194,-0.2675,0,0,1,0,0,0,0,0,1,1
