"sampleID","x-coordinate","y-coordinate","Year","annuprec","annutemp","annusnowcount","annuNAO","Alces alces","Capreolus capreolus","Gulo gulo","Lepus timidus","Lutra lutra","Lynx lynx","Mustela erminea","Mustela nivalis","Neovison vison","Nyctereutes procyonoides","Sciurus vulgaris","Vulpes lagopus","Vulpes vulpes"
"mammals_dec_4_NB_SampleID_48",550650,7271590,2014,747.836347579956,2.10833328589798,188,0.186666666666667,0,0,0,1,1,0,0,0,0,0,1,0,0
"mammals_dec_4_NB_SampleID_49",550650,7271590,2015,1216.32571792603,2.44166670739651,184,0.433333333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_50",550650,7271590,2016,916.305680274963,2.00833335518837,186,-0.0383333333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_51",550650,7271590,2017,757.977334022522,1.12500002980232,210,0.225833333333333,0,0,0,1,1,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_52",578740,7274400,2008,936.739013671875,1.46666657427947,203,-0.378333333333333,0,0,0,1,0,0,0,0,0,0,1,1,1
"mammals_dec_4_NB_SampleID_53",578740,7274400,2009,726.705068588257,0.841666718324027,214,-0.243333333333333,0,0,0,1,0,0,0,0,0,0,0,1,0
"mammals_dec_4_NB_SampleID_54",578740,7274400,2010,759.807063102722,-0.2416665951411,198,-1.1525,1,0,0,1,1,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_55",578740,7274400,2012,976.176471710206,0.0666665931542625,204,-0.455833333333333,0,0,0,1,0,0,0,1,0,0,1,1,1
"mammals_dec_4_NB_SampleID_56",578740,7274400,2013,882.658346176148,1.94999992350737,193,0.21,0,0,0,1,0,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_57",578740,7274400,2014,768.95002746582,1.95000008742014,215,0.186666666666667,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_58",578740,7274400,2015,1156.22066688537,2.37499997516473,193,0.433333333333333,1,0,0,1,0,0,0,0,0,0,0,0,1
"mammals_dec_4_NB_SampleID_59",578740,7274400,2016,903.226933479308,2.00000011920929,187,-0.0383333333333333,0,0,0,1,0,0,0,0,0,0,1,0,1
"mammals_dec_4_NB_SampleID_60",578740,7274400,2017,838.338787078858,1.03333325187366,213,0.225833333333333,0,0,0,1,0,0,0,0,0,0,0,1,1
"mammals_dec_4_NB_SampleID_61",563160,7274600,2008,991.915168762208,1.55833329757055,185,-0.378333333333333,1,0,0,1,0,0,0,1,0,0,1,0,1
"mammals_dec_4_NB_SampleID_62",563160,7274600,2009,692.873657226562,0.966666609048826,207,-0.243333333333333,0,0,0,1,0,0,0,1,0,0,0,0,1
